HostName,TimeStamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
bigdata-proj-m,23,3,44.90,0.00,1.02,1.02,0.00,53.06
bigdata-proj-m,24,all,53.25,0.00,4.75,0.25,0.00,41.75
bigdata-proj-m,24,0,71.72,0.00,3.03,0.00,0.00,25.25
bigdata-proj-m,24,1,43.81,0.00,8.57,0.00,0.00,47.62
bigdata-proj-m,24,2,38.00,0.00,4.00,1.00,0.00,57.00
bigdata-proj-m,24,3,60.20,0.00,4.08,0.00,0.00,35.71
bigdata-proj-m,25,all,44.19,0.00,5.05,0.25,0.00,50.51
bigdata-proj-m,25,0,55.00,0.00,5.00,0.00,0.00,40.00
bigdata-proj-m,25,1,42.57,0.00,2.97,0.99,0.00,53.47
bigdata-proj-m,25,2,36.36,0.00,5.05,1.01,0.00,57.58
bigdata-proj-m,25,3,42.86,0.00,6.12,0.00,0.00,51.02
bigdata-proj-m,26,all,40.55,0.00,3.48,0.50,0.00,55.47
bigdata-proj-m,26,0,41.67,0.00,4.17,0.00,0.00,54.17
bigdata-proj-m,26,1,30.30,0.00,3.03,0.00,0.00,66.67
bigdata-proj-m,26,2,31.00,0.00,4.00,0.00,0.00,65.00
bigdata-proj-m,26,3,59.22,0.00,1.94,0.00,0.00,38.83
bigdata-proj-m,27,all,20.05,0.00,1.52,0.25,0.00,78.17
bigdata-proj-m,27,0,20.20,0.00,1.01,1.01,0.00,77.78
bigdata-proj-m,27,1,16.33,0.00,3.06,0.00,0.00,80.61
bigdata-proj-m,27,2,22.22,0.00,1.01,0.00,0.00,76.77
bigdata-proj-m,27,3,21.21,0.00,2.02,0.00,0.00,76.77
bigdata-proj-m,28,all,26.00,0.00,4.00,0.50,0.00,69.50
bigdata-proj-m,28,0,24.74,0.00,4.12,0.00,0.00,71.13
bigdata-proj-m,28,1,26.00,0.00,5.00,1.00,0.00,68.00
bigdata-proj-m,28,2,24.00,0.00,4.00,1.00,0.00,71.00
bigdata-proj-m,28,3,28.43,0.00,1.96,0.98,0.00,68.63
bigdata-proj-m,29,all,21.83,0.00,5.84,0.25,0.00,72.08
bigdata-proj-m,29,0,33.33,0.00,4.04,1.01,0.00,61.62
bigdata-proj-m,29,1,16.33,0.00,5.10,0.00,0.00,78.57
bigdata-proj-m,29,2,19.19,0.00,5.05,0.00,0.00,75.76
bigdata-proj-m,29,3,18.56,0.00,9.28,0.00,0.00,72.16
bigdata-proj-m,30,all,41.09,0.00,6.44,0.74,0.00,51.73
bigdata-proj-m,30,0,36.19,0.00,10.48,0.00,0.00,53.33
bigdata-proj-m,30,1,41.41,0.00,3.03,1.01,0.00,54.55
bigdata-proj-m,30,2,42.16,0.00,5.88,0.98,0.00,50.98
bigdata-proj-m,30,3,45.00,0.00,7.00,1.00,0.00,47.00
bigdata-proj-m,31,all,31.31,0.00,3.79,0.25,0.00,64.65
bigdata-proj-m,31,0,23.71,0.00,3.09,0.00,0.00,73.20
bigdata-proj-m,31,1,21.00,0.00,6.00,1.00,0.00,72.00
bigdata-proj-m,31,2,42.00,0.00,4.00,0.00,0.00,54.00
bigdata-proj-m,31,3,38.00,0.00,3.00,0.00,0.00,59.00
bigdata-proj-m,32,all,27.71,0.00,3.02,0.50,0.00,68.77
bigdata-proj-m,32,0,36.00,0.00,3.00,0.00,0.00,61.00
bigdata-proj-m,32,1,19.79,0.00,3.12,0.00,0.00,77.08
bigdata-proj-m,32,2,23.71,0.00,1.03,1.03,0.00,74.23
bigdata-proj-m,32,3,30.10,0.00,3.88,0.97,0.00,65.05
bigdata-proj-m,33,all,31.82,0.00,4.80,0.51,0.00,62.88
bigdata-proj-m,33,0,34.65,0.00,3.96,0.99,0.00,60.40
bigdata-proj-m,33,1,27.55,0.00,5.10,1.02,0.00,66.33
bigdata-proj-m,33,2,32.00,0.00,6.00,0.00,0.00,62.00
bigdata-proj-m,33,3,34.34,0.00,4.04,0.00,0.00,61.62
bigdata-proj-m,34,all,20.00,0.00,2.28,0.51,0.00,77.22
bigdata-proj-m,34,0,20.20,0.00,2.02,1.01,0.00,76.77
bigdata-proj-m,34,1,18.56,0.00,2.06,0.00,0.00,79.38
bigdata-proj-m,34,2,23.23,0.00,3.03,1.01,0.00,72.73
bigdata-proj-m,34,3,17.00,0.00,3.00,1.00,0.00,79.00
bigdata-proj-m,35,all,22.34,0.00,2.28,0.51,0.00,74.87
bigdata-proj-m,35,0,29.90,0.00,2.06,0.00,0.00,68.04
bigdata-proj-m,35,1,20.79,0.00,2.97,0.00,0.00,76.24
bigdata-proj-m,35,2,23.00,0.00,2.00,0.00,0.00,75.00
bigdata-proj-m,35,3,15.46,0.00,3.09,1.03,0.00,80.41
bigdata-proj-m,36,all,24.56,0.00,5.82,0.51,0.00,69.11
bigdata-proj-m,36,0,24.00,0.00,3.00,1.00,0.00,72.00
bigdata-proj-m,36,1,21.43,0.00,3.06,1.02,0.00,74.49
bigdata-proj-m,36,2,33.67,0.00,11.22,0.00,0.00,55.10
bigdata-proj-m,36,3,19.79,0.00,3.12,0.00,0.00,77.08
bigdata-proj-m,37,all,31.36,0.00,6.67,0.49,0.00,61.48
bigdata-proj-m,37,0,44.12,0.00,3.92,0.00,0.00,51.96
bigdata-proj-m,37,1,36.54,0.00,10.58,0.96,0.00,51.92
bigdata-proj-m,37,2,24.00,0.00,4.00,1.00,0.00,71.00
